id	en_sentence	ta_sentence	offense_label	en_pos	en_dep	ta_pos	ta_dep
31	Lovely, exactly what we needed	சூப்பர், நமக்குத் தேவைப்பட்டதே	sarcasm	ADJ ADV INTJ PRON PROPN	amod advmod det nsubj cop	ADV ADJ PART	compound det amod
32	Those people do not belong here	அந்த மக்களுக்கு இங்கு இடம் இல்லை	hate_speech	DET DET ADP ADP VERB ADV	det nsubj nsubj det root advmod	PART PART DET VERB ADJ	compound nsubj nsubj nsubj nsubj
33	You are irrelevant here	இங்கே நீ பொருத்தமற்றவன்	disrespect_dismissive	PRON AUX ADJ ADV	nsubj aux amod advmod	ADV PRON VERB	obj obj root
34	This is a dumb move	இது முட்டாள்தனமான செயல்	profanity	DET AUX PART ADJ ADV	det aux compound amod obj	VERB DET NOUN	root det amod
35	I like this idea	இந்த எண்ணம் எனக்கு பிடிக்கும்	non_offensive	PRON VERB DET ADJ	nsubj root det advmod	ADP VERB PART VERB	amod root advmod root
36	Have a nice day	நல்ல நாள் இருக்கட்டும்	non_offensive	AUX DET DET DET	compound nsubj vocative compound	PART PART VERB	obj obj root
37	You are a constant problem	நீ எப்போதும் ஒரு பிரச்சினை	harassment_bullying	PRON AUX PROPN VERB INTJ	nsubj aux punct cop advmod	PRON VERB PART ADJ	nsubj obj amod obj
38	You will regret this	இதற்காக நீ வருந்துவாய்	threat	PRON AUX VERB DET	nsubj aux root det	ADP PRON DET	nsubj obj nsubj
39	Stop being so rude	இவ்வளவு முறைகேடாக இருக்காதே	profanity	INTJ PRON AUX INTJ	vocative obj punct advmod	PROPN NOUN PART	amod case case
40	This won't end well for you	இது உனக்குச் சரியாக முடிவதில்லை	threat	DET PART PRON ADP ADP PRON	det obj nsubj punct punct nsubj	VERB ADJ ADJ ADJ	obj obj nsubj obj
41	You never learn, do you	நீ ஒருபோதும் கற்றுக்கொள்வதில்லை, இல்லையா	harassment_bullying	PRON ADV VERB INTJ PRON	nsubj advmod root case nsubj	PRON VERB ADV DET	nsubj root advmod advmod
42	Keep them away from us	அவர்களை எங்களிடமிருந்து விலக்கி வையுங்கள்	hate_speech	VERB PRON VERB PART ADV	root cop det advmod det	ADJ VERB NOUN PROPN	det root det nsubj
43	You are stupid	நீ முட்டாள்	profanity	PRON AUX ADJ	nsubj aux amod	PRON PART	obj det
44	Have a nice day	நல்ல நாள் இருக்கட்டும்	non_offensive	NOUN DET ADV ADV	root root compound det	PROPN DET VERB	obj obj root
45	Listen, I will deal with you tonight	இன்றிரவு உன்னுடன் பார்க்கிறேன்	threat	ADV PRON AUX VERB PROPN PRON ADV	vocative nsubj aux root nsubj nsubj advmod	ADJ VERB VERB	amod nsubj root
46	We can meet tomorrow	நாளை நாம் சந்திக்கலாம்	non_offensive	PRON DET VERB PART	nsubj compound root vocative	ADJ VERB VERB	case root root
47	This won't end well for you	இது உனக்குச் சரியாக முடிவதில்லை	threat	DET ADJ DET PRON INTJ PRON	det case compound cop det nsubj	VERB NOUN ADV ADV	root amod amod det
48	Keep them away from us	அவர்களை எங்களிடமிருந்து விலக்கி வையுங்கள்	hate_speech	VERB INTJ INTJ ADP INTJ	root case obj punct nsubj	DET VERB DET PROPN	obj obj obj advmod
49	Their group is the worst	அவர்களின் குழு மிகவும் மோசமானது	hate_speech	DET ADP AUX PROPN ADJ	det det aux amod amod	VERB PART VERB VERB	obj amod obj root
50	Lovely, exactly what we needed	சூப்பர், நமக்குத் தேவைப்பட்டதே	sarcasm	ADJ ADV PRON PRON AUX	amod advmod nsubj nsubj punct	NOUN ADJ PROPN	case advmod case
51	This is a dumb move, got it?	இது முட்டாள்தனமான செயல்	profanity	DET AUX ADV ADJ AUX PART AUX	det aux obj amod det amod nsubj	VERB NOUN ADP	nsubj compound advmod
52	We can meet tomorrow	நாளை நாம் சந்திக்கலாம்	non_offensive	PRON PART VERB AUX	nsubj obj root nsubj	ADV VERB VERB	det root root
53	Your work is excellent	உங்கள் வேலை சிறப்பாக உள்ளது	non_offensive	INTJ INTJ AUX ADV	punct det aux compound	PRON VERB ADP VERB	nsubj obj obj root
54	I like this idea	இந்த எண்ணம் எனக்கு பிடிக்கும்	non_offensive	PRON VERB DET ADV	nsubj root det amod	ADV VERB ADP VERB	det nsubj det root
55	What a genius you are	நீ எவ்வளவு பெரிய புத்திசாலி	sarcasm	AUX INTJ INTJ PRON AUX	compound cop nsubj nsubj aux	PRON NOUN ADV NOUN	nsubj amod advmod det
56	We can meet tomorrow	நாளை நாம் சந்திக்கலாம்	non_offensive	PRON INTJ VERB ADP	nsubj root root cop	ADP VERB VERB	amod obj root
57	Shut up, idiot	வாயை மூடு, முட்டாள்	profanity	NOUN PART AUX	obj punct case	DET ADV PROPN	case advmod obj
58	What a silly comment	எவ்வளவு பேதையான கருத்து	profanity	VERB INTJ PROPN PART	det advmod obj advmod	NOUN NOUN VERB	det advmod root
59	Keep them away from us	அவர்களை எங்களிடமிருந்து விலக்கி வையுங்கள்	hate_speech	VERB PRON ADJ INTJ NOUN	root obj cop punct amod	DET VERB ADV ADJ	case nsubj amod obj
60	This is a dumb move, got it?	இது முட்டாள்தனமான செயல்	profanity	DET AUX PROPN ADJ INTJ PART ADJ	det aux punct amod amod compound case	VERB ADJ ADP	obj advmod det
61	Please share the document	ஆவணத்தை பகிரவும்	non_offensive	PROPN VERB AUX ADV	det root punct det	PART VERB	obj root
62	You are a constant problem	நீ எப்போதும் ஒரு பிரச்சினை	harassment_bullying	PRON AUX ADJ AUX PRON	nsubj aux nsubj compound compound	PRON VERB ADV ADP	nsubj nsubj nsubj compound
63	You always mess things up	நீ எப்போதும் விஷயங்களை கெடுப்பாய்	harassment_bullying	PRON ADV ADV ADJ ADV	nsubj advmod obj obj obj	PRON VERB ADP NOUN	nsubj nsubj obj case
64	Nobody wants you here	இங்கே உன்னை யாரும் விரும்பவில்லை	harassment_bullying	ADP PART PRON ADV	advmod det nsubj advmod	ADV PRON VERB ADJ	amod obj nsubj advmod
65	You are stupid	நீ முட்டாள்	profanity	PRON AUX ADJ	nsubj aux amod	PRON PROPN	obj nsubj
66	You always mess things up	நீ எப்போதும் விஷயங்களை கெடுப்பாய்	harassment_bullying	PRON ADV ADP PRON DET	nsubj advmod advmod obj det	PRON VERB ADP ADP	nsubj root obj advmod
67	Fantastic job, totally flawless 🙄	அற்புத வேலை, முற்றிலும் குறையின்றி	sarcasm	ADJ PRON ADJ ADJ VERB	amod case obj vocative root	NOUN VERB VERB PART	compound obj root advmod
68	Your opinion doesn't matter, got it?	உன் கருத்துக்கு அர்த்தமில்லை	disrespect_dismissive	PROPN PROPN PROPN AUX VERB DET	cop case compound case amod root	VERB ADP PROPN	obj det det
69	This is a dumb move	இது முட்டாள்தனமான செயல்	profanity	DET AUX INTJ ADJ NOUN	det aux compound amod case	VERB DET ADJ	root nsubj obj
70	Nobody wants you here	இங்கே உன்னை யாரும் விரும்பவில்லை	harassment_bullying	PRON AUX PRON ADV	vocative nsubj nsubj advmod	PROPN PRON VERB PROPN	advmod obj obj obj
71	This won't end well for you	இது உனக்குச் சரியாக முடிவதில்லை	threat	DET VERB ADP INTJ ADJ PRON	det amod root punct compound nsubj	VERB NOUN PART ADJ	nsubj obj compound nsubj
72	We can meet tomorrow	நாளை நாம் சந்திக்கலாம்	non_offensive	PRON ADP VERB PART	nsubj obj root case	NOUN VERB VERB	case nsubj root
73	Their group is the worst	அவர்களின் குழு மிகவும் மோசமானது	hate_speech	DET INTJ AUX PART ADJ	det obj aux cop amod	VERB PART VERB VERB	root advmod nsubj root
74	This is a dumb move	இது முட்டாள்தனமான செயல்	profanity	DET AUX PART ADJ NOUN	det aux vocative amod advmod	VERB ADP NOUN	root obj case
75	Stop being so rude	இவ்வளவு முறைகேடாக இருக்காதே	profanity	PART DET AUX PROPN	nsubj case amod obj	DET NOUN PROPN	compound compound compound
76	This won't end well for you	இது உனக்குச் சரியாக முடிவதில்லை	threat	DET ADJ DET INTJ ADJ PRON	det advmod compound obj cop nsubj	VERB DET NOUN ADV	root case amod amod
77	They are a problem for our society	அவர்கள் நமது சமூகத்திற்கு ஒரு பிரச்சினை	hate_speech	PRON AUX PROPN VERB INTJ VERB DET	nsubj aux obj vocative root cop nsubj	PRON VERB ADP NOUN NOUN	obj nsubj nsubj obj obj
78	You are irrelevant here, got it?	இங்கே நீ பொருத்தமற்றவன்	disrespect_dismissive	PRON AUX ADJ ADV DET VERB	nsubj aux amod advmod compound vocative	ADJ PRON VERB	compound nsubj root
79	Nobody wants you here	இங்கே உன்னை யாரும் விரும்பவில்லை	harassment_bullying	DET ADV PRON ADV	punct cop nsubj advmod	ADP PRON VERB ADV	det nsubj obj obj
80	Stop being so rude	இவ்வளவு முறைகேடாக இருக்காதே	profanity	ADJ PROPN ADJ ADJ	obj root compound compound	ADJ PART PART	amod det obj
81	Those people do not belong here	அந்த மக்களுக்கு இங்கு இடம் இல்லை	hate_speech	DET AUX PRON INTJ VERB ADV	det punct vocative cop root advmod	PROPN ADJ DET VERB ADP	nsubj obj det obj amod
82	This is a dumb move	இது முட்டாள்தனமான செயல்	profanity	DET AUX VERB ADJ PROPN	det aux cop amod compound	VERB PART PART	nsubj nsubj amod
83	Please share the document	ஆவணத்தை பகிரவும்	non_offensive	ADJ VERB ADV PROPN	vocative root cop advmod	PROPN VERB	obj root
84	Have a nice day	நல்ல நாள் இருக்கட்டும்	non_offensive	INTJ ADJ DET PROPN	root vocative punct vocative	PROPN NOUN VERB	compound obj root
85	Your work is excellent	உங்கள் வேலை சிறப்பாக உள்ளது	non_offensive	DET ADV AUX VERB	root compound aux amod	PRON VERB ADV VERB	nsubj nsubj nsubj root
86	Oh great, another brilliant plan	அப்பு அருமை, இன்னொரு பிரமாதமான திட்டம்	sarcasm	PART ADJ ADV ADJ NOUN	punct amod advmod amod case	ADV PART PART DET VERB	advmod case compound compound root
87	Your work is excellent	உங்கள் வேலை சிறப்பாக உள்ளது	non_offensive	DET PROPN AUX ADP	obj obj aux advmod	PRON VERB NOUN VERB	obj obj amod root
88	Stay out of this	இதிலிருந்து விலகி இரு	disrespect_dismissive	PROPN ADJ NOUN DET	advmod punct cop det	VERB PROPN ADJ	root advmod det
89	You always mess things up	நீ எப்போதும் விஷயங்களை கெடுப்பாய்	harassment_bullying	PRON ADV ADP INTJ AUX	nsubj advmod amod det obj	PRON VERB DET PROPN	obj nsubj det obj
90	Your work is excellent	உங்கள் வேலை சிறப்பாக உள்ளது	non_offensive	VERB ADP AUX PART	obj punct aux nsubj	PRON VERB ADP VERB	obj root amod root
91	We can meet tomorrow	நாளை நாம் சந்திக்கலாம்	non_offensive	PRON DET VERB ADV	nsubj root root punct	ADJ VERB VERB	nsubj obj root
92	Please share the document	ஆவணத்தை பகிரவும்	non_offensive	PART VERB AUX PRON	cop root amod cop	ADV VERB	compound root
93	Nobody wants you here	இங்கே உன்னை யாரும் விரும்பவில்லை	harassment_bullying	ADP ADP PRON ADV	cop vocative nsubj advmod	ADJ PRON VERB NOUN	obj nsubj nsubj amod
94	We will make you pay	நாங்கள் உன்னால் கட்டவைக்கிறோம்	threat	PRON AUX VERB PRON VERB	nsubj aux root nsubj root	PRON ADV VERB	nsubj case root
95	You are irrelevant here, got it?	இங்கே நீ பொருத்தமற்றவன்	disrespect_dismissive	PRON AUX ADJ ADV NOUN ADJ	nsubj aux amod advmod cop root	ADP PRON VERB	obj obj root
96	Listen, We will make you pay	நாங்கள் உன்னால் கட்டவைக்கிறோம்	threat	ADP PRON AUX VERB PRON VERB	cop nsubj aux root nsubj root	PRON ADJ VERB	obj case root
97	We can meet tomorrow	நாளை நாம் சந்திக்கலாம்	non_offensive	PRON PART VERB NOUN	nsubj compound root compound	NOUN VERB VERB	nsubj nsubj root
98	Their group is the worst	அவர்களின் குழு மிகவும் மோசமானது	hate_speech	DET ADJ AUX AUX ADJ	det cop aux root amod	VERB ADP VERB VERB	obj det root root
99	We can meet tomorrow	நாளை நாம் சந்திக்கலாம்	non_offensive	PRON PROPN VERB PRON	nsubj det root case	NOUN VERB VERB	obj root root
100	They are a problem for our society	அவர்கள் நமது சமூகத்திற்கு ஒரு பிரச்சினை	hate_speech	PRON AUX ADJ INTJ ADP VERB VERB	nsubj aux compound vocative compound punct obj	PRON VERB ADP PART ADV	obj root advmod compound compound
101	You will regret this	இதற்காக நீ வருந்துவாய்	threat	PRON AUX VERB DET	nsubj aux root det	PART PRON NOUN	advmod obj obj
102	People like them ruin everything	அவர்களைப் போன்றவர்கள் அனைத்தையும் கெடுப்பார்கள்	hate_speech	VERB VERB PRON VERB PART	punct root punct root det	PART ADP VERB NOUN	advmod amod root nsubj
103	We don't need your input	உன் கருத்து எங்களுக்கு தேவையில்லை	disrespect_dismissive	PRON PROPN VERB PRON DET	nsubj root root amod nsubj	VERB VERB PROPN ADP	nsubj obj det det
104	This won't end well for you	இது உனக்குச் சரியாக முடிவதில்லை	threat	DET DET AUX PART PROPN PRON	det amod root vocative case nsubj	VERB ADV DET ADP	root advmod amod obj
105	I will deal with you tonight	இன்றிரவு உன்னுடன் பார்க்கிறேன்	threat	PRON AUX VERB VERB PRON ADV	nsubj aux root root nsubj advmod	ADP VERB VERB	advmod nsubj root
106	I will deal with you tonight	இன்றிரவு உன்னுடன் பார்க்கிறேன்	threat	PRON AUX VERB NOUN PRON ADV	nsubj aux root det nsubj advmod	PART VERB VERB	amod obj root
107	You are stupid	நீ முட்டாள்	profanity	PRON AUX ADJ	nsubj aux amod	PRON ADV	nsubj amod
108	We can meet tomorrow	நாளை நாம் சந்திக்கலாம்	non_offensive	PRON ADJ VERB PROPN	nsubj advmod root cop	NOUN VERB VERB	obj obj root
109	People like them ruin everything	அவர்களைப் போன்றவர்கள் அனைத்தையும் கெடுப்பார்கள்	hate_speech	PROPN VERB PART VERB AUX	root root det root det	DET NOUN VERB ADV	compound obj obj obj
110	Have a nice day	நல்ல நாள் இருக்கட்டும்	non_offensive	PROPN ADJ PART INTJ	case case case vocative	ADJ DET VERB	compound obj root
111	Keep them away from us	அவர்களை எங்களிடமிருந்து விலக்கி வையுங்கள்	hate_speech	VERB ADJ PRON VERB ADP	root punct compound amod det	PART VERB ADJ NOUN	case nsubj amod amod
112	Please share the document	ஆவணத்தை பகிரவும்	non_offensive	NOUN VERB ADV PART	nsubj root det obj	PROPN VERB	advmod root
113	What a silly comment	எவ்வளவு பேதையான கருத்து	profanity	PART AUX ADP VERB	nsubj root punct nsubj	ADJ DET VERB	amod advmod root
114	Shut up, idiot	வாயை மூடு, முட்டாள்	profanity	PART DET AUX	vocative root amod	PART DET ADJ	case advmod advmod
115	They are a problem for our society	அவர்கள் நமது சமூகத்திற்கு ஒரு பிரச்சினை	hate_speech	PRON AUX AUX PRON INTJ PROPN ADJ	nsubj aux root nsubj case nsubj vocative	PRON VERB PART ADV NOUN	nsubj root case case compound
116	Everyone knows you are useless	நீ பயனற்றவன் என்று அனைவரும் அறிவார்கள்	harassment_bullying	NOUN PART PRON AUX ADJ	det nsubj nsubj aux amod	PRON VERB ADV VERB VERB	obj obj amod obj root
117	You will regret this	இதற்காக நீ வருந்துவாய்	threat	PRON AUX VERB DET	nsubj aux root det	ADJ PRON PART	amod nsubj nsubj
118	Watch your step	உன் நடையை கவனமாக வைத்துக்கோ	threat	VERB ADP PRON	root amod det	VERB ADV DET NOUN	root nsubj amod advmod
119	What a silly comment	எவ்வளவு பேதையான கருத்து	profanity	NOUN PRON ADV PROPN	nsubj advmod advmod amod	ADV ADP VERB	compound obj root
120	Sure, that will definitely work	ஆமாம், அது கண்டிப்பாக வேலை செய்யும்	sarcasm	PROPN DET AUX NOUN PRON	cop det aux vocative punct	VERB VERB PART VERB VERB	nsubj obj advmod root root
121	Your work is excellent	உங்கள் வேலை சிறப்பாக உள்ளது	non_offensive	PRON INTJ AUX ADJ	root compound aux amod	PRON VERB DET VERB	obj obj nsubj root
122	We can meet tomorrow	நாளை நாம் சந்திக்கலாம்	non_offensive	PRON ADP VERB ADP	nsubj nsubj root det	NOUN VERB VERB	obj nsubj root
123	What a silly comment	எவ்வளவு பேதையான கருத்து	profanity	ADV ADV PRON AUX	amod obj advmod det	ADP ADJ VERB	obj compound root
124	Please share the document	ஆவணத்தை பகிரவும்	non_offensive	ADV VERB ADJ INTJ	det root advmod compound	DET VERB	obj root
125	Fantastic job, totally flawless	அற்புத வேலை, முற்றிலும் குறையின்றி	sarcasm	ADJ VERB NOUN ADJ	amod obj obj obj	PROPN VERB VERB DET	advmod nsubj nsubj nsubj
126	Your work is excellent	உங்கள் வேலை சிறப்பாக உள்ளது	non_offensive	ADP ADJ AUX ADJ	det vocative aux advmod	PRON VERB ADV VERB	obj root compound root
127	This won't end well for you	இது உனக்குச் சரியாக முடிவதில்லை	threat	DET VERB ADJ VERB DET PRON	det punct root cop punct nsubj	VERB ADV ADP NOUN	nsubj obj obj advmod
128	Those people do not belong here	அந்த மக்களுக்கு இங்கு இடம் இல்லை	hate_speech	DET INTJ DET VERB VERB ADV	det det vocative nsubj root advmod	ADJ NOUN NOUN VERB ADV	case compound obj obj case
129	People like them ruin everything	அவர்களைப் போன்றவர்கள் அனைத்தையும் கெடுப்பார்கள்	hate_speech	PART VERB ADV VERB ADJ	root root obj root case	PROPN PROPN VERB ADJ	compound case obj advmod
130	Watch your step	உன் நடையை கவனமாக வைத்துக்கோ	threat	VERB AUX ADJ	root compound root	VERB ADJ NOUN ADV	obj compound det advmod
131	Shut up, idiot, got it?	வாயை மூடு, முட்டாள்	profanity	VERB INTJ ADJ AUX PART	amod det advmod obj cop	ADV ADV NOUN	det det obj
132	Please share the document	ஆவணத்தை பகிரவும்	non_offensive	VERB VERB DET PRON	cop root case det	ADV VERB	compound root
133	Their group is the worst	அவர்களின் குழு மிகவும் மோசமானது	hate_speech	DET PROPN AUX ADJ ADJ	det amod aux cop amod	VERB PROPN VERB VERB	obj obj obj root
134	People like them ruin everything	அவர்களைப் போன்றவர்கள் அனைத்தையும் கெடுப்பார்கள்	hate_speech	NOUN VERB NOUN VERB ADV	vocative root amod root nsubj	PROPN ADV VERB DET	det nsubj nsubj nsubj
135	You always mess things up	நீ எப்போதும் விஷயங்களை கெடுப்பாய்	harassment_bullying	PRON ADV AUX DET ADP	nsubj advmod case amod vocative	PRON VERB DET ADP	nsubj obj compound advmod
136	Have a nice day	நல்ல நாள் இருக்கட்டும்	non_offensive	DET ADP ADJ INTJ	advmod vocative advmod vocative	DET ADV VERB	amod amod root
137	Please share the document	ஆவணத்தை பகிரவும்	non_offensive	VERB VERB PRON ADP	cop root root amod	ADP VERB	obj root
138	I like this idea	இந்த எண்ணம் எனக்கு பிடிக்கும்	non_offensive	PRON VERB DET PRON	nsubj root det nsubj	DET VERB DET VERB	det root nsubj root
139	What a silly comment	எவ்வளவு பேதையான கருத்து	profanity	VERB NOUN NOUN ADV	advmod punct punct det	DET DET VERB	obj advmod root
140	You will regret this	இதற்காக நீ வருந்துவாய்	threat	PRON AUX VERB DET	nsubj aux root det	ADV PRON PART	obj obj nsubj
141	Your work is excellent	உங்கள் வேலை சிறப்பாக உள்ளது	non_offensive	ADV INTJ AUX ADP	case det aux punct	PRON VERB PROPN VERB	nsubj root case root
142	Sure, that will definitely work	ஆமாம், அது கண்டிப்பாக வேலை செய்யும்	sarcasm	ADP DET AUX DET ADP	cop det aux punct punct	VERB VERB NOUN VERB VERB	root nsubj det nsubj root
143	This is a dumb move	இது முட்டாள்தனமான செயல்	profanity	DET AUX VERB ADJ PART	det aux compound amod advmod	VERB ADP ADV	obj det obj
144	Listen, This won't end well for you	இது உனக்குச் சரியாக முடிவதில்லை	threat	PART DET AUX INTJ NOUN ADP PRON	obj det root root obj amod nsubj	VERB NOUN PROPN ADP	obj obj nsubj amod
145	Please share the document	ஆவணத்தை பகிரவும்	non_offensive	AUX VERB ADJ AUX	case root vocative obj	NOUN VERB	det root
146	Stop being so rude, got it?	இவ்வளவு முறைகேடாக இருக்காதே	profanity	PRON NOUN ADV NOUN PRON AUX	compound root root advmod advmod amod	NOUN ADJ DET	advmod det nsubj
147	You are a constant problem	நீ எப்போதும் ஒரு பிரச்சினை	harassment_bullying	PRON AUX INTJ ADP ADV	nsubj aux cop vocative cop	PRON VERB NOUN ADV	obj obj compound case
148	This is a dumb move	இது முட்டாள்தனமான செயல்	profanity	DET AUX VERB ADJ PROPN	det aux root amod case	VERB ADJ NOUN	root amod amod
149	We don't need your input	உன் கருத்து எங்களுக்கு தேவையில்லை	disrespect_dismissive	PRON NOUN VERB ADV DET	nsubj cop root amod cop	VERB VERB ADP DET	root root amod amod
150	Nobody wants you here	இங்கே உன்னை யாரும் விரும்பவில்லை	harassment_bullying	NOUN ADP PRON ADV	advmod det nsubj advmod	ADJ PRON VERB NOUN	advmod nsubj obj compound
151	You always mess things up	நீ எப்போதும் விஷயங்களை கெடுப்பாய்	harassment_bullying	PRON ADV DET DET AUX	nsubj advmod cop punct case	PRON VERB DET ADV	nsubj obj amod det
152	This is a dumb move	இது முட்டாள்தனமான செயல்	profanity	DET AUX AUX ADJ DET	det aux nsubj amod advmod	VERB PART ADV	root compound advmod
153	This is a dumb move	இது முட்டாள்தனமான செயல்	profanity	DET AUX NOUN ADJ INTJ	det aux compound amod obj	VERB ADJ PROPN	obj nsubj amod
154	I like this idea	இந்த எண்ணம் எனக்கு பிடிக்கும்	non_offensive	PRON VERB DET PRON	nsubj root det vocative	ADP VERB NOUN VERB	obj obj amod root
155	Have a nice day	நல்ல நாள் இருக்கட்டும்	non_offensive	AUX DET AUX ADP	nsubj det vocative obj	NOUN DET VERB	nsubj case root
156	Shut up, idiot	வாயை மூடு, முட்டாள்	profanity	VERB DET NOUN	compound obj nsubj	ADJ ADP PROPN	case det case
157	You are irrelevant here, got it?	இங்கே நீ பொருத்தமற்றவன்	disrespect_dismissive	PRON AUX ADJ ADV PRON ADV	nsubj aux amod advmod advmod nsubj	NOUN PRON VERB	amod obj root
158	Their group is the worst	அவர்களின் குழு மிகவும் மோசமானது	hate_speech	DET ADP AUX NOUN ADJ	det punct aux obj amod	VERB ADJ VERB VERB	nsubj obj nsubj root
159	Have a nice day	நல்ல நாள் இருக்கட்டும்	non_offensive	PROPN PART AUX PART	det nsubj punct root	PART DET VERB	nsubj obj root
160	You always mess things up	நீ எப்போதும் விஷயங்களை கெடுப்பாய்	harassment_bullying	PRON ADV PROPN VERB PROPN	nsubj advmod compound det punct	PRON VERB PROPN ADJ	nsubj obj nsubj obj
161	Listen, I will deal with you tonight	இன்றிரவு உன்னுடன் பார்க்கிறேன்	threat	ADP PRON AUX VERB PRON PRON ADV	punct nsubj aux root det nsubj advmod	NOUN VERB VERB	advmod obj root
